停車票號,入場時間,出場時間,發票號碼,收費金額
2021021315563820,2021/02/13 15:56:00,2021/02/13 23:22:50,56697326,150
2021021311213807,2021/02/13 11:21:00,2021/02/13 23:50:18,56697327,150
2021021312173812,2021/02/13 12:17:00,2021/02/13 23:54:59,56697328,150
2021021404493824,2021/02/14 04:49:00,2021/02/14 13:54:06,56697329,150
2021021413283830,2021/02/14 13:28:00,2021/02/14 14:37:30,未開發票,45
2021021414323831,2021/02/14 14:32:00,2021/02/14 14:40:22,未開發票,15
2021021412063827,2021/02/14 12:06:00,2021/02/14 14:41:59,未開發票,90
2021021412143828,2021/02/14 12:14:00,2021/02/14 14:46:23,未開發票,90
2021021412163829,2021/02/14 12:16:00,2021/02/14 14:46:40,未開發票,75
2021021411233826,2021/02/14 11:23:00,2021/02/14 14:58:06,56697330,120
2021021417343832,2021/02/14 17:34:00,2021/02/14 18:45:31,56697331,45
2021021409443825,2021/02/14 09:44:00,2021/02/14 23:28:48,56697332,150
2021021508503835,2021/02/15 08:50:00,2021/02/15 10:15:13,未開發票,45
2021021509173840,2021/02/15 09:17:00,2021/02/15 10:35:58,未開發票,45
2021021508493834,2021/02/15 08:49:00,2021/02/15 10:38:07,未開發票,60
2021021508553837,2021/02/15 08:55:00,2021/02/15 10:39:01,未開發票,60
2021021508553836,2021/02/15 08:55:00,2021/02/15 10:40:04,56697333,60
2021021509063839,2021/02/15 09:06:00,2021/02/15 10:41:18,56697334,60
2021021509043838,2021/02/15 09:04:00,2021/02/15 10:46:54,56697335,60
2021021508403833,2021/02/15 08:40:00,2021/02/15 10:47:55,未開發票,75
2021021400443823,2021/02/14 00:44:00,2021/02/15 11:52:54,未開發票,300
2021021510483841,2021/02/15 10:48:00,2021/02/15 15:03:52,56697336,135
2021021511403842,2021/02/15 11:40:00,2021/02/15 15:17:32,56697337,120
2021021515463845,2021/02/15 15:46:00,2021/02/15 16:26:53,未開發票,30
2021021514533844,2021/02/15 14:53:00,2021/02/15 16:46:22,未開發票,60
2021021310333805,2021/02/13 10:33:00,2021/02/15 19:28:05,未開發票,450
